#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.4849848411e+00    5.6266032891e+01   -1.4652813867e+01    7.1678290262e+00    2.5721003795e+00   -1.7224914247e+01    3.0000000000e+03    3.5564492100e-01    6.4214583333e-01
         1   -7.4608083589e+00    5.5880274025e+01   -1.4362365796e+01    6.9015574371e+00    2.4997995117e+00   -1.6862165308e+01    3.0000000000e+03    3.5461550400e-01    6.4345833333e-01
         2   -7.4910380794e+00    5.6372475610e+01   -1.4804630378e+01    7.3135922985e+00    2.6225837477e+00   -1.7427214126e+01    3.0000000000e+03    3.4637437500e-01    6.4045833333e-01
         3   -7.4856136606e+00    5.6281837787e+01   -1.4526040824e+01    7.0404271632e+00    2.5795325591e+00   -1.7105573383e+01    3.0000000000e+03    3.6300265700e-01    6.4217708333e-01
         4   -7.4741419283e+00    5.6097190497e+01   -1.5428785994e+01    7.9546440662e+00    2.6535008131e+00   -1.8082286808e+01    3.0000000000e+03    3.5554735100e-01    6.3267708333e-01
         5   -7.4836776752e+00    5.6248082818e+01   -1.4852367367e+01    7.3686896916e+00    2.5733453237e+00   -1.7425712691e+01    3.0000000000e+03    3.4995050400e-01    6.3826041667e-01
         6   -7.4509172944e+00    5.5733636600e+01   -1.4269688085e+01    6.8187707904e+00    2.5964384313e+00   -1.6866126516e+01    3.0000000000e+03    3.5479615700e-01    6.3804166667e-01
         7   -7.4936783726e+00    5.6403116854e+01   -1.4590564755e+01    7.0968863819e+00    2.6314061774e+00   -1.7221970932e+01    3.0000000000e+03    3.4773047900e-01    6.4112500000e-01
         8   -7.4655899249e+00    5.5981489439e+01   -1.4360158250e+01    6.8945683254e+00    2.6274429925e+00   -1.6987601243e+01    3.0000000000e+03    3.5912320700e-01    6.4163541667e-01
         9   -7.4839842692e+00    5.6248995035e+01   -1.4741504291e+01    7.2575200217e+00    2.6402505627e+00   -1.7381754854e+01    3.0000000000e+03    3.5287767300e-01    6.4094791667e-01
        10   -7.4517760231e+00    5.5760917822e+01   -1.6952557322e+01    9.5007812993e+00    2.6576055111e+00   -1.9610162834e+01    3.0000000000e+03    3.5028383600e-01    6.3572916667e-01
        11   -7.5103206451e+00    5.6672382488e+01   -1.5255981744e+01    7.7456610985e+00    2.6474013725e+00   -1.7903383116e+01    3.0000000000e+03    3.5281816000e-01    6.3904166667e-01
        12   -7.4981738228e+00    5.6469742057e+01   -1.4896944569e+01    7.3987707464e+00    2.6236444788e+00   -1.7520589048e+01    3.0000000000e+03    3.4666481500e-01    6.4026041667e-01
        13   -7.4679675737e+00    5.6007529917e+01   -1.4023242734e+01    6.5552751605e+00    2.5611928106e+00   -1.6584435545e+01    3.0000000000e+03    3.4536007000e-01    6.3956250000e-01
        14   -7.4849110472e+00    5.6283819530e+01   -1.6085572538e+01    8.6006614908e+00    2.6111964310e+00   -1.8696768969e+01    3.0000000000e+03    3.4834178400e-01    6.3939583333e-01
        15   -7.4675301554e+00    5.6005655581e+01   -1.5149101926e+01    7.6815717706e+00    2.5890247691e+00   -1.7738126695e+01    3.0000000000e+03    3.4713352700e-01    6.3846875000e-01
        16   -7.4713878206e+00    5.6083682014e+01   -1.5282709227e+01    7.8113214067e+00    2.6640971828e+00   -1.7946806410e+01    3.0000000000e+03    3.4474346300e-01    6.3861458333e-01
        17   -7.4729342152e+00    5.6082688450e+01   -1.4913420358e+01    7.4404861423e+00    2.6185991123e+00   -1.7532019470e+01    3.0000000000e+03    3.6611737200e-01    6.4066666667e-01
        18   -7.4648648710e+00    5.5966902176e+01   -1.4663308859e+01    7.1984439881e+00    2.6667065664e+00   -1.7330015425e+01    3.0000000000e+03    3.4626314400e-01    6.4045833333e-01
        19   -7.4569135343e+00    5.5829078632e+01   -1.4860075217e+01    7.4031616832e+00    2.6080086477e+00   -1.7468083865e+01    3.0000000000e+03    3.4556398700e-01    6.3911458333e-01
        20   -7.4753373912e+00    5.6113493602e+01   -1.5866732854e+01    8.3913954627e+00    2.6096167001e+00   -1.8476349554e+01    3.0000000000e+03    3.4859635100e-01    6.3870833333e-01
        21   -7.4666799312e+00    5.5974996174e+01   -1.4928516443e+01    7.4618365119e+00    2.5816442756e+00   -1.7510160719e+01    3.0000000000e+03    3.5472922000e-01    6.4235416667e-01
        22   -7.4773235333e+00    5.6154344034e+01   -1.5031905397e+01    7.5545818635e+00    2.6407476558e+00   -1.7672653053e+01    3.0000000000e+03    3.6811912900e-01    6.4084375000e-01
        23   -7.4625265977e+00    5.5926169915e+01   -1.4615241138e+01    7.1527145401e+00    2.5944810890e+00   -1.7209722227e+01    3.0000000000e+03    3.9062442000e-01    6.4236458333e-01
