#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.3579053741e+00    5.4898065665e+01   -1.3407484863e+01    6.0495794887e+00    2.4076024853e+00   -1.5815087348e+01    3.0000000000e+03    3.5823422800e-01    6.6982291667e-01
         1   -7.3822070992e+00    5.5304819136e+01   -1.4618089032e+01    7.2358819326e+00    2.4239829808e+00   -1.7042072013e+01    3.0000000000e+03    3.5440867600e-01    6.6765625000e-01
         2   -7.3806044639e+00    5.5276402165e+01   -1.3197852850e+01    5.8172483859e+00    2.4389466260e+00   -1.5636799476e+01    3.0000000000e+03    3.5223499300e-01    6.6732291667e-01
         3   -7.3917644617e+00    5.5482326782e+01   -1.3656849887e+01    6.2650854251e+00    2.4939176653e+00   -1.6150767552e+01    3.0000000000e+03    3.5160583400e-01    6.6677083333e-01
         4   -7.3518948495e+00    5.4829238245e+01   -1.3655919355e+01    6.3040245057e+00    2.4309844624e+00   -1.6086903818e+01    3.0000000000e+03    3.5881677900e-01    6.7085416667e-01
         5   -7.4077730484e+00    5.5675650987e+01   -1.3778731211e+01    6.3709581624e+00    2.4441452925e+00   -1.6222876503e+01    3.0000000000e+03    3.5155285300e-01    6.6539583333e-01
         6   -7.4015551374e+00    5.5576715409e+01   -1.4348776429e+01    6.9472212918e+00    2.4350877138e+00   -1.6783864143e+01    3.0000000000e+03    3.5226389000e-01    6.6702083333e-01
         7   -7.4035947336e+00    5.5625890241e+01   -1.4532276026e+01    7.1286812920e+00    2.4809643055e+00   -1.7013240331e+01    3.0000000000e+03    3.4938802800e-01    6.6651041667e-01
         8   -7.3716503461e+00    5.5099261239e+01   -1.3295587909e+01    5.9239375625e+00    2.4445242948e+00   -1.5740112203e+01    3.0000000000e+03    3.4863358500e-01    6.6500000000e-01
         9   -7.3535571535e+00    5.4881662564e+01   -1.2939669209e+01    5.5861120551e+00    2.4152751130e+00   -1.5354944322e+01    3.0000000000e+03    3.5922638000e-01    6.6926041667e-01
        10   -7.3501998691e+00    5.4785928464e+01   -1.4839711995e+01    7.4895121261e+00    2.4353213557e+00   -1.7275033351e+01    3.0000000000e+03    3.4899381300e-01    6.6976041667e-01
        11   -7.3484065460e+00    5.4726118597e+01   -1.3030999007e+01    5.6825924614e+00    2.4233254189e+00   -1.5454324426e+01    3.0000000000e+03    3.4992584900e-01    6.6653125000e-01
        12   -7.3510993280e+00    5.4814430796e+01   -1.3009740246e+01    5.6586409185e+00    2.3950158450e+00   -1.5404756091e+01    3.0000000000e+03    3.5473675600e-01    6.7151041667e-01
        13   -7.3957339522e+00    5.5500117185e+01   -1.3468039561e+01    6.0723056092e+00    2.4469861401e+00   -1.5915025702e+01    3.0000000000e+03    3.5050731100e-01    6.6637500000e-01
        14   -7.3765604995e+00    5.5230134882e+01   -1.3690922862e+01    6.3143623620e+00    2.4604442437e+00   -1.6151367105e+01    3.0000000000e+03    3.4910511600e-01    6.6850000000e-01
        15   -7.3705057028e+00    5.5105365232e+01   -1.3448421539e+01    6.0779158365e+00    2.4709105417e+00   -1.5919332081e+01    3.0000000000e+03    3.5092210700e-01    6.6654166667e-01
        16   -7.3791475732e+00    5.5241299708e+01   -1.3310462595e+01    5.9313150219e+00    2.4350650779e+00   -1.5745527673e+01    3.0000000000e+03    3.5483117400e-01    6.6929166667e-01
        17   -7.3897568549e+00    5.5424581025e+01   -1.3246802238e+01    5.8570453827e+00    2.4625291058e+00   -1.5709331343e+01    3.0000000000e+03    3.5411635200e-01    6.6845833333e-01
        18   -7.3542680669e+00    5.4817820562e+01   -1.3160429342e+01    5.8061612754e+00    2.4773471055e+00   -1.5637776448e+01    3.0000000000e+03    3.6848129400e-01    6.6815625000e-01
        19   -7.3969162848e+00    5.5511689220e+01   -1.3515799962e+01    6.1188836768e+00    2.4704872099e+00   -1.5986287172e+01    3.0000000000e+03    3.5503539900e-01    6.6766666667e-01
        20   -7.3567911224e+00    5.4944922526e+01   -1.3531434677e+01    6.1746435548e+00    2.4323436661e+00   -1.5963778343e+01    3.0000000000e+03    3.5177123100e-01    6.6957291667e-01
        21   -7.3462917665e+00    5.4747915916e+01   -1.2946611241e+01    5.6003194744e+00    2.4454175869e+00   -1.5392028828e+01    3.0000000000e+03    3.6239399200e-01    6.7328125000e-01
        22   -7.4500717652e+00    5.6386620770e+01   -1.4309996202e+01    6.8599244367e+00    2.5327685776e+00   -1.6842764780e+01    3.0000000000e+03    3.5196476200e-01    6.6541666667e-01
        23   -7.3786613723e+00    5.5253022102e+01   -1.3672818005e+01    6.2941566323e+00    2.4830641689e+00   -1.6155882173e+01    3.0000000000e+03    3.5180007400e-01    6.6731250000e-01
