#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonElec             BlockWeight         BlockCPU            AcceptRatio         
         0   -7.5255066328e+00    5.6846119397e+01   -1.2149075171e+01    4.6235685385e+00    2.8210357153e+00   -1.4970110887e+01    3.2000000000e+01    2.0334010005e-03    6.4453125000e-01
         1   -7.3944777459e+00    5.5004408061e+01   -3.5418737136e+01    2.8024259390e+01    3.5918342759e+00   -3.9010571412e+01    3.2000000000e+01    1.9171539998e-03    6.0546875000e-01
         2   -7.7304419045e+00    6.0365930469e+01   -1.5468349300e+01    7.7379073957e+00    2.4812914407e+00   -1.7949640741e+01    3.2000000000e+01    2.0313109999e-03    6.3085937500e-01
         3   -7.2516398627e+00    5.2726156492e+01   -1.2563299842e+01    5.3116599796e+00    2.9836158711e+00   -1.5546915713e+01    3.2000000000e+01    2.8589210006e-03    6.3476562500e-01
         4   -7.2780374425e+00    5.3095490432e+01   -1.0654888304e+01    3.3768508618e+00    2.3669096530e+00   -1.3021797957e+01    3.2000000000e+01    1.9848840002e-03    6.8164062500e-01
         5   -7.5254869529e+00    5.6894280404e+01   -1.8798354157e+01    1.1272867204e+01    2.4818323227e+00   -2.1280186480e+01    3.2000000000e+01    2.0188609997e-03    6.2109375000e-01
         6   -7.5958411183e+00    5.7973381088e+01   -2.2860632622e+01    1.5264791504e+01    2.9573048650e+00   -2.5817937487e+01    3.2000000000e+01    1.9254040008e-03    6.0156250000e-01
         7   -7.2989551446e+00    5.3535707153e+01   -1.1288880623e+01    3.9899254789e+00    2.3428576229e+00   -1.3631738246e+01    3.2000000000e+01    1.9486109995e-03    6.4257812500e-01
         8   -7.4264401372e+00    5.5328665803e+01   -1.2846294981e+01    5.4198548439e+00    1.9320034555e+00   -1.4778298437e+01    3.2000000000e+01    1.9732150004e-03    6.9335937500e-01
         9   -8.1505089786e+00    6.6988985089e+01   -1.7009692428e+01    8.8591834494e+00    1.9535142024e+00   -1.8963206630e+01    3.2000000000e+01    1.9252020002e-03    6.6210937500e-01
        10   -7.4073796310e+00    5.5023536845e+01   -1.2939007779e+01    5.5316281480e+00    2.0960142020e+00   -1.5035021981e+01    3.2000000000e+01    1.9129530001e-03    6.6601562500e-01
        11   -7.3390670869e+00    5.4022846407e+01   -1.1100477085e+01    3.7614099981e+00    2.1061709289e+00   -1.3206648014e+01    3.2000000000e+01    1.9440010001e-03    6.6210937500e-01
        12   -7.3429859444e+00    5.4377358713e+01   -1.1719836850e+01    4.3768509060e+00    2.4796458528e+00   -1.4199482703e+01    3.2000000000e+01    1.9620339999e-03    6.6406250000e-01
        13   -7.4785355682e+00    5.6085754116e+01   -1.0183566452e+01    2.7050308839e+00    4.4433198893e+00   -1.4626886341e+01    3.2000000000e+01    2.1233699999e-03    6.6406250000e-01
        14   -7.1546667193e+00    5.1221953453e+01   -8.9277773903e+00    1.7731106710e+00    2.2160799836e+00   -1.1143857374e+01    3.2000000000e+01    1.9975409996e-03    7.3632812500e-01
        15   -7.4455623862e+00    5.5710828481e+01   -1.0091572819e+01    2.6460104324e+00    1.8274548662e+00   -1.1919027685e+01    3.2000000000e+01    2.0079810001e-03    7.2070312500e-01
        16   -7.4175370694e+00    5.5152217940e+01   -1.2029429024e+01    4.6118919541e+00    2.2118398040e+00   -1.4241268828e+01    3.2000000000e+01    1.9756820002e-03    6.6210937500e-01
        17   -7.2028934479e+00    5.2131257000e+01   -1.2902465033e+01    5.6995715850e+00    2.6597632194e+00   -1.5562228252e+01    3.2000000000e+01    1.9630990000e-03    6.6992187500e-01
        18   -7.1443068596e+00    5.1195998064e+01   -9.3796796579e+00    2.2353727983e+00    2.1865880480e+00   -1.1566267706e+01    3.2000000000e+01    2.0373810003e-03    7.4804687500e-01
